G_i,G_j,G_ij
0,0,1.000000e+00
20,0,-3.214607e-04
21,0,-9.492603e-04
22,0,-1.940020e-03
23,0,-1.277042e-03
24,0,-1.919128e-03
25,0,-1.716916e-03
26,0,-2.484669e-03
27,0,-2.278704e-03
28,0,-2.298466e-03
29,0,-2.398645e-03
30,0,-1.717913e-03
31,0,-3.138643e-03
32,0,-1.509519e-03
33,0,-9.996233e-04
34,0,-6.384305e-04
35,0,-1.314825e-03
1,1,1.000000e+00
20,1,-2.179066e-03
21,1,-3.721797e-03
22,1,-2.407233e-03
23,1,-4.435568e-03
24,1,-3.707916e-03
25,1,-2.610363e-03
26,1,-2.961727e-03
27,1,-2.764870e-03
28,1,-3.485470e-03
29,1,-3.335310e-03
30,1,-4.156377e-03
31,1,-3.619815e-03
32,1,-3.143915e-03
33,1,-2.566499e-03
34,1,-1.445657e-03
35,1,-1.068911e-03
2,2,1.000000e+00
20,2,-5.943094e-04
21,2,-3.962604e-03
22,2,-5.648310e-03
23,2,-6.155815e-03
24,2,-7.350446e-03
25,2,-7.547614e-03
26,2,-4.564489e-03
27,2,-5.389610e-03
28,2,-5.787403e-03
29,2,-1.019894e-02
30,2,-4.614461e-03
31,2,-7.265738e-03
32,2,-7.631658e-03
33,2,-5.073020e-03
34,2,-8.724590e-03
35,2,-1.178292e-03
3,3,1.000000e+00
20,3,-4.406612e-03
21,3,-8.320370e-03
22,3,-9.416051e-03
23,3,-1.196030e-02
24,3,-1.352537e-02
25,3,-1.176258e-02
26,3,-1.183896e-02
27,3,-6.381138e-03
28,3,-9.132237e-03
29,3,-1.440687e-02
30,3,-8.659273e-03
31,3,-1.496023e-02
32,3,-1.285806e-02
33,3,-1.009919e-02
34,3,-7.484119e-03
35,3,-1.796297e-03
4,4,1.000000e+00
20,4,-3.184719e-03
21,4,-1.296696e-02
22,4,-1.060054e-02
23,4,-1.296219e-02
24,4,-1.594946e-02
25,4,-1.982677e-02
26,4,-1.802906e-02
27,4,-1.019641e-02
28,4,-9.177561e-03
29,4,-1.639189e-02
30,4,-1.971026e-02
31,4,-1.468950e-02
32,4,-1.340614e-02
33,4,-9.556397e-03
34,4,-8.764063e-03
35,4,-4.353889e-03
5,5,1.000000e+00
20,5,-4.815946e-03
21,5,-8.700768e-03
22,5,-1.269876e-02
23,5,-2.488044e-02
24,5,-2.318077e-02
25,5,-2.565991e-02
26,5,-3.170000e-02
27,5,-1.940468e-02
28,5,-1.642299e-02
29,5,-2.153810e-02
30,5,-2.478180e-02
31,5,-2.475561e-02
32,5,-1.954920e-02
33,5,-1.795219e-02
34,5,-5.336672e-03
35,5,-5.757587e-03
6,6,1.000000e+00
20,6,-9.912839e-03
21,6,-1.117758e-02
22,6,-1.578703e-02
23,6,-2.908081e-02
24,6,-2.955119e-02
25,6,-3.411051e-02
26,6,-5.305941e-02
27,6,-3.035875e-02
28,6,-3.089149e-02
29,6,-3.965251e-02
30,6,-4.143486e-02
31,6,-3.567181e-02
32,6,-1.961444e-02
33,6,-2.181745e-02
34,6,-9.906581e-03
35,6,-7.133254e-03
7,7,1.000000e+00
20,7,-8.084407e-03
21,7,-1.218677e-02
22,7,-2.202981e-02
23,7,-2.999495e-02
24,7,-4.615163e-02
25,7,-4.915955e-02
26,7,-6.530724e-02
