Gvar_i,Gvar_j,Gvar_ij
64,0,1.171234e-06
65,0,1.303857e-05
66,0,9.559477e-07
67,0,1.206087e-05
68,0,4.425958e-05
69,0,1.533334e-05
70,0,2.241601e-06
71,0,2.368211e-05
72,0,2.664091e-05
73,0,6.964887e-07
74,0,3.935642e-06
75,0,1.490731e-05
76,0,4.798506e-06
77,0,4.855354e-05
78,0,4.888576e-06
79,0,2.300830e-06
80,0,1.106293e-05
81,0,2.312318e-05
82,0,1.243326e-04
83,0,2.092355e-06
84,0,2.025110e-05
85,0,2.797328e-05
86,0,1.347382e-05
87,0,4.508087e-05
88,0,4.363389e-05
89,0,7.527255e-05
90,0,1.096889e-07
91,0,3.976306e-08
92,0,4.011603e-05
93,0,2.991810e-08
94,0,1.483998e-08
95,0,1.605756e-06
96,0,1.200104e-06
97,0,6.086308e-07
98,0,1.451013e-05
99,0,7.792307e-07
100,0,3.320305e-06
101,0,6.085923e-06
102,0,1.811792e-06
103,0,1.809538e-05
104,0,1.675496e-05
105,0,4.753470e-06
106,0,3.365942e-06
107,0,3.624713e-05
108,0,7.422033e-05
109,0,3.440256e-05
110,0,2.854171e-06
111,0,3.171330e-05
112,0,2.843667e-05
113,0,3.514438e-05
114,0,2.306392e-06
115,0,2.159894e-05
116,0,5.658743e-05
117,0,1.341772e-05
118,0,4.580599e-06
119,0,7.024799e-07
120,0,1.013954e-05
121,0,1.807813e-05
122,0,2.441764e-08
123,0,2.869908e-05
64,1,4.485874e-05
65,1,2.079986e-05
66,1,6.851800e-05
67,1,8.959540e-05
68,1,2.194928e-04
69,1,1.292698e-04
70,1,1.191459e-04
71,1,1.663906e-04
72,1,1.996791e-04
73,1,2.024221e-05
74,1,2.486185e-04
75,1,2.125436e-04
76,1,1.509823e-04
77,1,2.174970e-04
78,1,1.924325e-04
79,1,1.982866e-04
80,1,1.497510e-04
81,1,1.922112e-04
82,1,3.162787e-04
83,1,1.265290e-04
84,1,2.543497e-04
85,1,1.922720e-04
86,1,1.364925e-04
87,1,7.640254e-05
88,1,3.779675e-04
89,1,1.247623e-04
90,1,2.616325e-06
91,1,9.126786e-07
92,1,2.031208e-04
93,1,7.059863e-07
94,1,3.579952e-07
95,1,6.106700e-05
96,1,1.904725e-04
97,1,4.334432e-05
98,1,1.501206e-04
99,1,4.602562e-05
100,1,1.677005e-04
101,1,1.766301e-04
102,1,1.672629e-04
103,1,2.897848e-04
104,1,1.295374e-04
105,1,1.961411e-04
106,1,1.987966e-04
107,1,3.059886e-04
108,1,1.910128e-04
109,1,2.766321e-04
110,1,2.681419e-04
111,1,1.964568e-04
112,1,1.545572e-04
113,1,2.984456e-04
114,1,2.677070e-04
115,1,8.767293e-05
116,1,2.176529e-04
117,1,1.262705e-04
118,1,1.969406e-04
119,1,9.387638e-05
120,1,8.457496e-05
121,1,9.861474e-05
122,1,5.474699e-07
123,1,6.189813e-06
64,2,6.288902e-05
65,2,8.511858e-05
66,2,1.575516e-04
67,2,1.326605e-04
68,2,2.387354e-04
69,2,2.082412e-04
70,2,2.720375e-04
71,2,3.076461e-04
72,2,2.947283e-04
73,2,3.210964e-04
74,2,3.871624e-04
75,2,3.629014e-04
76,2,3.066773e-04
77,2,2.451467e-04
78,2,7.498079e-04
79,2,7.869827e-04
80,2,7.197182e-04
81,2,2.520484e-04
82,2,5.773134e-04
83,2,5.850377e-04
84,2,2.671237e-04
85,2,6.283577e-04
86,2,3.895365e-04
87,2,8.949009e-05
88,2,2.921207e-04
89,2,3.777261e-04
90,2,1.902322e-04
91,2,1.163971e-04
