Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
451,-2.350000e+01,1.350000e+01,2.708865e+00,2.722985e+00,1.411939e-02,5.212290e-03
452,2.350000e+01,1.350000e+01,2.767644e+00,2.806040e+00,3.839574e-02,1.387308e-02
453,2.450000e+01,1.350000e+01,2.731151e+00,2.806040e+00,7.488878e-02,2.742023e-02
454,2.550000e+01,1.350000e+01,2.696656e+00,2.806040e+00,1.093831e-01,4.056249e-02
455,2.650000e+01,1.350000e+01,2.664223e+00,2.806040e+00,1.418163e-01,5.322987e-02
456,2.750000e+01,1.350000e+01,2.633915e+00,2.806040e+00,1.721245e-01,6.534931e-02
457,2.850000e+01,1.350000e+01,2.605824e+00,2.806040e+00,2.002158e-01,7.683399e-02
458,2.950000e+01,1.350000e+01,2.580090e+00,2.806040e+00,2.259495e-01,8.757426e-02
459,3.050000e+01,1.350000e+01,2.556919e+00,2.806040e+00,2.491208e-01,9.743010e-02
460,3.150000e+01,1.350000e+01,2.536591e+00,2.806040e+00,2.694482e-01,1.062245e-01
461,-1.350000e+01,2.350000e+01,2.788837e+00,2.773565e+00,-1.527263e-02,5.476344e-03
462,-1.350000e+01,2.450000e+01,2.806819e+00,2.773565e+00,-3.325383e-02,1.184751e-02
463,-1.350000e+01,2.550000e+01,2.825165e+00,2.773565e+00,-5.160005e-02,1.826444e-02
464,-1.350000e+01,2.650000e+01,2.842212e+00,2.773565e+00,-6.864714e-02,2.415272e-02
465,-1.350000e+01,2.750000e+01,2.857283e+00,2.773565e+00,-8.371829e-02,2.929996e-02
466,-1.350000e+01,2.850000e+01,2.870609e+00,2.773565e+00,-9.704448e-02,3.380623e-02
467,-1.350000e+01,2.950000e+01,2.883021e+00,2.773565e+00,-1.094566e-01,3.796593e-02
468,-1.350000e+01,3.050000e+01,2.895607e+00,2.773565e+00,-1.220419e-01,4.214727e-02
469,-1.350000e+01,3.150000e+01,2.909444e+00,2.773565e+00,-1.358792e-01,4.670280e-02
470,-4.500000e+00,2.350000e+01,3.036329e+00,3.034262e+00,-2.067341e-03,6.808684e-04
471,-4.500000e+00,2.450000e+01,3.034236e+00,3.034262e+00,2.556839e-05,8.426629e-06
472,-4.500000e+00,2.550000e+01,3.028052e+00,3.034262e+00,6.209679e-03,2.050717e-03
473,-4.500000e+00,2.650000e+01,3.018723e+00,3.034262e+00,1.553935e-02,5.147657e-03
474,-4.500000e+00,2.750000e+01,3.007714e+00,3.034262e+00,2.654790e-02,8.826603e-03
475,-4.500000e+00,2.850000e+01,2.996659e+00,3.034262e+00,3.760258e-02,1.254817e-02
476,-4.500000e+00,2.950000e+01,2.987103e+00,3.034262e+00,4.715852e-02,1.578738e-02
477,-4.500000e+00,3.050000e+01,2.980364e+00,3.034262e+00,5.389782e-02,1.808431e-02
478,-4.500000e+00,3.150000e+01,2.977479e+00,3.034262e+00,5.678273e-02,1.907074e-02
479,4.500000e+00,2.350000e+01,3.029178e+00,3.046003e+00,1.682500e-02,5.554312e-03
480,4.500000e+00,2.450000e+01,3.013498e+00,3.046003e+00,3.250546e-02,1.078662e-02
481,4.500000e+00,2.550000e+01,2.998910e+00,3.046003e+00,4.709322e-02,1.570344e-02
482,4.500000e+00,2.650000e+01,2.985537e+00,3.046003e+00,6.046635e-02,2.025309e-02
