Knot_index,x,y,sol_analytic,sol_PDDS,err,rerr
321,-1.050000e+01,1.350000e+01,2.931339e+00,2.916047e+00,-1.529233e-02,5.216843e-03
322,-9.500000e+00,1.350000e+01,2.947522e+00,2.937115e+00,-1.040698e-02,3.530754e-03
323,-8.500000e+00,1.350000e+01,2.964189e+00,2.946903e+00,-1.728689e-02,5.831911e-03
324,-7.500000e+00,1.350000e+01,2.981697e+00,2.964365e+00,-1.733189e-02,5.812760e-03
325,-6.500000e+00,1.350000e+01,3.000409e+00,2.983673e+00,-1.673543e-02,5.577717e-03
326,-5.500000e+00,1.350000e+01,3.020651e+00,3.002033e+00,-1.861746e-02,6.163394e-03
327,-3.500000e+00,1.350000e+01,3.066441e+00,3.045594e+00,-2.084779e-02,6.798693e-03
328,-2.500000e+00,1.350000e+01,3.091848e+00,3.074634e+00,-1.721446e-02,5.567694e-03
329,-1.500000e+00,1.350000e+01,3.118399e+00,3.097394e+00,-2.100524e-02,6.735905e-03
330,-5.000000e-01,1.350000e+01,3.145365e+00,3.125830e+00,-1.953515e-02,6.210773e-03
331,5.000000e-01,1.350000e+01,3.171820e+00,3.147124e+00,-2.469660e-02,7.786253e-03
332,1.500000e+00,1.350000e+01,3.196748e+00,3.177861e+00,-1.888748e-02,5.908342e-03
333,2.500000e+00,1.350000e+01,3.219162e+00,3.198252e+00,-2.090921e-02,6.495235e-03
334,3.500000e+00,1.350000e+01,3.238199e+00,3.215113e+00,-2.308608e-02,7.129296e-03
335,5.500000e+00,1.350000e+01,3.263627e+00,3.245165e+00,-1.846174e-02,5.656817e-03
336,6.500000e+00,1.350000e+01,3.269217e+00,3.254207e+00,-1.500961e-02,4.591196e-03
337,7.500000e+00,1.350000e+01,3.269772e+00,3.250315e+00,-1.945692e-02,5.950543e-03
338,8.500000e+00,1.350000e+01,3.265207e+00,3.243629e+00,-2.157794e-02,6.608444e-03
