-0.200000,0.600000,0.549837,0.008854
-0.187097,0.600000,0.572095,-0.000528
-0.174194,0.600000,0.604187,-0.000944
-0.161290,0.600000,0.629105,-0.009345
-0.148387,0.600000,0.669762,-0.002767
-0.135484,0.600000,0.700368,-0.006941
-0.122581,0.600000,0.742179,-0.000557
-0.109677,0.600000,0.767449,-0.011299
-0.096774,0.600000,0.814487,-0.000802
-0.083871,0.600000,0.840131,-0.012166
-0.070968,0.600000,0.890127,0.000414
-0.058065,0.600000,0.930841,0.003367
-0.045161,0.600000,0.967330,0.001813
-0.032258,0.600000,0.992418,-0.011365
-0.019355,0.600000,1.043247,0.001041
-0.006452,0.600000,1.080846,0.000121
0.006452,0.600000,1.115185,-0.004090
0.019355,0.600000,1.162978,0.005185
0.032258,0.600000,1.202268,0.006051
0.045161,0.600000,1.232662,-0.001820
0.058065,0.600000,1.272696,0.000169
0.070968,0.600000,1.303868,-0.006419
0.083871,0.600000,1.339781,-0.007921
0.096774,0.600000,1.382231,-0.002480
0.109677,0.600000,1.424548,0.003296
0.122581,0.600000,1.466907,0.009643
0.135484,0.600000,1.497412,0.004721
0.148387,0.600000,1.524080,-0.003391
0.161290,0.600000,1.562832,0.001283
0.174194,0.600000,1.589817,-0.005052
0.187097,0.600000,1.627734,0.000357
0.200000,0.600000,1.656384,-0.002633
