index,APL,WCtime,RNGCalls,Estimated_Variance,PCoeff_old,PCoeff_new,Var_Plain,Var_VR,bias_num,bias_trap
0,-nan,0.000000e+00,0.000000e+00,-nan,-nan,-nan,-nan,-nan,-nan,-nan
1,inf,0.000000e+00,2.034100e+05,5.321309e-02,-1.132194e+00,-1.132194e+00,5.321309e-02,0.000000e+00,0.000000e+00,2.167125e-02
2,inf,0.000000e+00,2.645420e+05,8.600262e-02,-1.154363e+00,-1.154363e+00,8.600262e-02,0.000000e+00,0.000000e+00,2.216397e-02
3,inf,0.000000e+00,3.236100e+05,1.223002e-01,-1.216058e+00,-1.216058e+00,1.223002e-01,0.000000e+00,0.000000e+00,1.875905e-02
4,inf,0.000000e+00,3.693740e+05,1.421718e-01,-1.320752e+00,-1.320752e+00,1.421718e-01,0.000000e+00,0.000000e+00,1.600930e-02
5,inf,0.000000e+00,4.285740e+05,1.751211e-01,-1.371958e+00,-1.371958e+00,1.751211e-01,0.000000e+00,0.000000e+00,1.754550e-02
6,inf,0.000000e+00,4.715660e+05,1.917328e-01,-1.453576e+00,-1.453576e+00,1.917328e-01,0.000000e+00,0.000000e+00,1.085166e-02
7,inf,0.000000e+00,5.148280e+05,2.064984e-01,-1.546066e+00,-1.546066e+00,2.064984e-01,0.000000e+00,0.000000e+00,9.269659e-03
8,inf,0.000000e+00,5.554480e+05,2.265221e-01,-1.583471e+00,-1.583471e+00,2.265221e-01,0.000000e+00,0.000000e+00,6.259734e-03
9,inf,0.000000e+00,5.963860e+05,2.337146e-01,-1.658206e+00,-1.658206e+00,2.337146e-01,0.000000e+00,0.000000e+00,5.168920e-03
10,inf,0.000000e+00,6.174660e+05,2.458209e-01,-1.715762e+00,-1.715762e+00,2.458209e-01,0.000000e+00,0.000000e+00,7.456892e-04
11,inf,0.000000e+00,6.348160e+05,2.475631e-01,-1.783480e+00,-1.783480e+00,2.475631e-01,0.000000e+00,0.000000e+00,-1.264376e-03
12,inf,0.000000e+00,6.557380e+05,2.630086e-01,-1.819661e+00,-1.819661e+00,2.630086e-01,0.000000e+00,0.000000e+00,-7.445148e-03
13,inf,0.000000e+00,6.520740e+05,2.548500e-01,-1.850649e+00,-1.850649e+00,2.548500e-01,0.000000e+00,0.000000e+00,-7.693174e-03
14,inf,0.000000e+00,6.882400e+05,2.501457e-01,-1.887748e+00,-1.887748e+00,2.501457e-01,0.000000e+00,0.000000e+00,-1.260744e-02
15,inf,0.000000e+00,6.705360e+05,2.448681e-01,-1.924146e+00,-1.924146e+00,2.448681e-01,0.000000e+00,0.000000e+00,-1.422698e-02
16,inf,0.000000e+00,6.684580e+05,2.344550e-01,-1.974706e+00,-1.974706e+00,2.344550e-01,0.000000e+00,0.000000e+00,-1.470430e-02
17,inf,0.000000e+00,6.857820e+05,2.331314e-01,-1.974905e+00,-1.974905e+00,2.331314e-01,0.000000e+00,0.000000e+00,-1.851730e-02
18,inf,0.000000e+00,6.597320e+05,2.214365e-01,-2.092037e+00,-2.092037e+00,2.214365e-01,0.000000e+00,0.000000e+00,-2.150829e-02
19,inf,0.000000e+00,6.453080e+05,2.096994e-01,-2.088307e+00,-2.088307e+00,2.096994e-01,0.000000e+00,0.000000e+00,-2.494438e-02
20,inf,0.000000e+00,6.207980e+05,1.968076e-01,-2.043887e+00,-2.043887e+00,1.968076e-01,0.000000e+00,0.000000e+00,-3.054222e-02
21,inf,0.000000e+00,5.976900e+05,1.752160e-01,-1.991888e+00,-1.991888e+00,1.752160e-01,0.000000e+00,0.000000e+00,-2.765995e-02
22,inf,0.000000e+00,5.833380e+05,1.684469e-01,-2.074710e+00,-2.074710e+00,1.684469e-01,0.000000e+00,0.000000e+00,-3.197253e-02
23,inf,0.000000e+00,5.548460e+05,1.539210e-01,-2.118160e+00,-2.118160e+00,1.539210e-01,0.000000e+00,0.000000e+00,-3.780743e-02
24,inf,0.000000e+00,5.140480e+05,1.350741e-01,-2.086058e+00,-2.086058e+00,1.350741e-01,0.000000e+00,0.000000e+00,-4.352775e-02
25,inf,0.000000e+00,4.715620e+05,1.149151e-01,-2.082663e+00,-2.082663e+00,1.149151e-01,0.000000e+00,0.000000e+00,-5.220462e-02
26,inf,0.000000e+00,4.234520e+05,9.986902e-02,-2.153648e+00,-2.153648e+00,9.986902e-02,0.000000e+00,0.000000e+00,-5.366225e-02
27,inf,0.000000e+00,3.692980e+05,7.911390e-02,-2.083470e+00,-2.083470e+00,7.911390e-02,0.000000e+00,0.000000e+00,-5.709973e-02
28,inf,0.000000e+00,3.062640e+05,6.156198e-02,-2.094007e+00,-2.094007e+00,6.156198e-02,0.000000e+00,0.000000e+00,-5.810388e-02
