Gvar_i,Gvar_j,Gvar_ij
115,3,1.293277e-04
116,3,8.253793e-04
117,3,2.023522e-06
118,3,6.644557e-04
119,3,4.116401e-07
120,3,8.423067e-04
121,3,3.742870e-07
122,3,1.719425e-07
123,3,1.517659e-08
64,4,2.701113e-06
65,4,2.567205e-04
66,4,1.509326e-07
67,4,1.407834e-05
68,4,4.629249e-04
69,4,1.321465e-04
70,4,4.399402e-06
71,4,5.059398e-04
72,4,1.709264e-04
73,4,2.289082e-04
74,4,8.035858e-04
75,4,8.379057e-04
76,4,4.527959e-05
77,4,9.372429e-05
78,4,1.276487e-03
79,4,6.187699e-04
80,4,8.945916e-06
81,4,5.138093e-04
82,4,6.922841e-04
83,4,7.767855e-04
84,4,5.808416e-04
85,4,4.611540e-04
86,4,1.969565e-04
87,4,7.444712e-04
88,4,9.527307e-04
89,4,8.633207e-04
90,4,4.658486e-04
91,4,1.813854e-03
92,4,8.980686e-05
93,4,1.562503e-05
94,4,5.624267e-05
95,4,2.464871e-04
96,4,6.897905e-04
97,4,1.161237e-03
98,4,8.535935e-04
99,4,1.984165e-03
100,4,6.113950e-04
101,4,6.659462e-05
102,4,1.653221e-03
103,4,1.202862e-03
104,4,3.153828e-05
105,4,6.503576e-04
106,4,5.810383e-04
107,4,2.971301e-05
108,4,8.206339e-04
109,4,2.399884e-04
110,4,8.357894e-05
111,4,5.042771e-04
112,4,1.611856e-04
113,4,5.880783e-04
114,4,5.926640e-04
115,4,3.350666e-04
116,4,2.874615e-05
117,4,7.972452e-04
118,4,1.318363e-04
119,4,1.736098e-06
120,4,3.300683e-04
121,4,1.518221e-06
122,4,7.866594e-07
123,4,5.901888e-08
64,5,1.396694e-05
65,5,7.226099e-05
66,5,4.914668e-07
67,5,2.067310e-04
68,5,7.143537e-04
69,5,1.273328e-04
70,5,2.327727e-05
71,5,1.593196e-03
72,5,3.382663e-04
73,5,1.889754e-03
74,5,9.503479e-04
75,5,9.442924e-04
76,5,6.194536e-05
77,5,1.046550e-03
78,5,2.585272e-03
79,5,1.587292e-03
80,5,8.387533e-05
81,5,1.757788e-03
82,5,9.047963e-04
83,5,4.581235e-04
84,5,1.570800e-03
85,5,9.846539e-04
86,5,9.756202e-04
87,5,4.754247e-04
88,5,4.143957e-04
89,5,1.286608e-04
90,5,1.222816e-04
91,5,1.853850e-03
92,5,5.074248e-04
93,5,2.048919e-04
94,5,4.566988e-05
95,5,2.803671e-04
96,5,2.546935e-05
97,5,4.910000e-04
98,5,1.136075e-03
99,5,1.798637e-03
100,5,1.133778e-03
101,5,3.154448e-04
102,5,3.914558e-04
103,5,2.146532e-03
104,5,8.108305e-04
105,5,3.708168e-04
106,5,6.158626e-04
107,5,9.071850e-04
108,5,9.310131e-04
109,5,1.185141e-03
110,5,1.255935e-03
111,5,1.679135e-04
112,5,6.285860e-05
113,5,6.465883e-04
114,5,2.833063e-04
115,5,2.451982e-03
116,5,1.647201e-05
117,5,2.010652e-04
118,5,9.806014e-05
119,5,6.233329e-06
120,5,4.696141e-05
121,5,5.020879e-06
122,5,3.364203e-06
123,5,1.799874e-07
64,6,1.836511e-04
65,6,4.789769e-05
66,6,1.985806e-06
67,6,9.569883e-04
68,6,6.401153e-04
69,6,1.584522e-04
70,6,9.317137e-04
71,6,6.458054e-04
72,6,3.172717e-04
73,6,4.838331e-04
74,6,9.131502e-04
75,6,1.760038e-03
76,6,2.477939e-04
77,6,1.839814e-04
78,6,1.783940e-03
79,6,1.691317e-03
80,6,1.382955e-03
81,6,7.027611e-04
82,6,2.491964e-04
83,6,1.649856e-03
84,6,1.175394e-03
85,6,9.740135e-04
86,6,1.006416e-03
87,6,1.145007e-04
88,6,1.637082e-03
89,6,5.471897e-04
90,6,1.342515e-03
91,6,2.304689e-03
92,6,9.651741e-04
93,6,1.479183e-03
94,6,3.714007e-05
95,6,5.824823e-05
96,6,4.040298e-05
97,6,6.099162e-04
98,6,2.449522e-04
99,6,1.661814e-03
100,6,3.205858e-04
101,6,2.398736e-03
102,6,1.553511e-03
103,6,1.902615e-03
104,6,1.090712e-03
105,6,9.812114e-04
106,6,1.601701e-03
107,6,9.368397e-04
108,6,6.024274e-04
109,6,1.334290e-03
110,6,9.026176e-04
111,6,6.341491e-04
112,6,6.350576e-04
113,6,1.844279e-03
114,6,1.121402e-03
115,6,9.969870e-04
116,6,1.587471e-05
117,6,2.418020e-04
118,6,3.897440e-04
119,6,2.577650e-05
120,6,2.661483e-05
121,6,1.660141e-05
122,6,2.326567e-05
123,6,4.926616e-07
64,7,2.667599e-04
65,7,5.991226e-05
66,7,7.309062e-04
67,7,8.768536e-05
68,7,1.507111e-03
69,7,1.076654e-03
70,7,1.084621e-03
71,7,8.359354e-04
72,7,4.763074e-04
73,7,2.399725e-04
74,7,1.256709e-03
75,7,1.133108e-03
76,7,2.693942e-03
77,7,8.246190e-04
78,7,2.654658e-03
79,7,2.532425e-03
80,7,2.815734e-04
81,7,2.489259e-04
82,7,1.668008e-03
83,7,1.749432e-03
84,7,1.967638e-03
85,7,1.312582e-03
86,7,1.202008e-03
87,7,7.750877e-04
88,7,1.687685e-04
89,7,7.440850e-04
90,7,1.091815e-03
91,7,2.287852e-03
92,7,1.259304e-04
93,7,8.980322e-05
94,7,2.989874e-05
95,7,3.483259e-05
96,7,4.040523e-04
97,7,9.344223e-05
98,7,1.180862e-03
99,7,1.224920e-03
100,7,1.237336e-03
101,7,9.131199e-04
102,7,3.014073e-04
103,7,2.657882e-03
104,7,3.071046e-03
105,7,1.396041e-03
106,7,1.249684e-03
107,7,2.870875e-03
108,7,7.463625e-04
109,7,5.704825e-04
110,7,6.119604e-04
111,7,1.078794e-03
112,7,7.325009e-04
113,7,1.225576e-03
114,7,1.217932e-03
115,7,6.776435e-04
116,7,2.431054e-05
117,7,5.477535e-05
118,7,2.770693e-04
119,7,5.207195e-04
120,7,2.505307e-05
121,7,9.446830e-05
122,7,6.878728e-04
123,7,1.413110e-06
64,8,3.971157e-05
65,8,3.979445e-04
66,8,4.325637e-06
67,8,1.355099e-04
68,8,1.374449e-03
69,8,1.591392e-03
70,8,1.620858e-04
71,8,1.712892e-04
72,8,1.445523e-03
73,8,3.022506e-04
74,8,2.823493e-04
75,8,6.495191e-04
76,8,3.527975e-03
77,8,9.089674e-04
78,8,1.359172e-03
79,8,2.170030e-03
80,8,7.035823e-04
81,8,6.839411e-04
82,8,1.288547e-03
83,8,1.854621e-03
84,8,3.524394e-04
85,8,1.204788e-03
86,8,1.784506e-03
87,8,9.923775e-04
88,8,1.086562e-03
89,8,8.508232e-04
90,8,6.220413e-04
91,8,2.006082e-03
92,8,6.719687e-04
93,8,3.556689e-05
94,8,2.462421e-05
95,8,3.381717e-05
96,8,4.054529e-04
97,8,1.112824e-03
98,8,8.675122e-04
99,8,1.722715e-03
100,8,1.054973e-03
101,8,2.473116e-03
102,8,6.604388e-04
103,8,1.769924e-03
104,8,1.156243e-03
105,8,1.577823e-03
106,8,3.029741e-03
107,8,1.346867e-03
108,8,1.718139e-03
109,8,1.032939e-03
110,8,6.602399e-04
111,8,1.800692e-03
112,8,1.300246e-03
113,8,9.895820e-04
114,8,2.248492e-03
115,8,1.455470e-03
116,8,8.409412e-04
117,8,6.597269e-05
118,8,9.106159e-04
119,8,1.595256e-04
120,8,7.749911e-04
121,8,6.799892e-04
122,8,2.208133e-05
123,8,5.926138e-06
64,9,3.142903e-05
65,9,1.052384e-03
66,9,5.416897e-06
67,9,1.796483e-04
68,9,2.163610e-04
69,9,1.932275e-03
70,9,4.454401e-04
71,9,9.108427e-04
72,9,4.341955e-04
73,9,2.117188e-03
74,9,1.788337e-03
75,9,9.090907e-04
76,9,1.301018e-03
77,9,7.955326e-04
78,9,3.009139e-03
79,9,1.873146e-03
80,9,6.160968e-04
81,9,1.595366e-03
82,9,1.498728e-03
83,9,9.875111e-04
84,9,2.321278e-03
85,9,9.467889e-05
86,9,3.403565e-03
87,9,1.343174e-03
88,9,9.289164e-04
89,9,2.375556e-03
90,9,8.753409e-04
91,9,9.116193e-04
92,9,6.186645e-05
93,9,2.319087e-05
94,9,2.232194e-05
95,9,4.959236e-05
96,9,1.302390e-04
97,9,1.341591e-03
98,9,6.259705e-04
99,9,6.926910e-04
100,9,4.958021e-04
101,9,3.949992e-04
102,9,5.253706e-04
103,9,1.606229e-03
104,9,8.060450e-04
105,9,2.276577e-03
106,9,2.192433e-03
107,9,1.927026e-03
108,9,1.795040e-03
109,9,1.859706e-03
110,9,1.649686e-03
111,9,1.755367e-03
112,9,1.463314e-03
113,9,2.217928e-04
114,9,3.152366e-03
115,9,6.697547e-04
116,9,3.135130e-04
117,9,8.334922e-04
118,9,1.508310e-03
119,9,8.088715e-04
120,9,2.245714e-04
121,9,1.242002e-03
122,9,1.538250e-05
123,9,5.847464e-04
64,10,1.496914e-04
65,10,5.670464e-04
66,10,1.085980e-05
67,10,3.130627e-04
68,10,5.307592e-04
69,10,1.017072e-03
70,10,1.327956e-03
71,10,1.162026e-03
72,10,1.165747e-03
73,10,8.097865e-04
74,10,2.191277e-03
75,10,7.026480e-04
76,10,2.228689e-03
77,10,2.227819e-03
78,10,3.981663e-03
79,10,3.549220e-04
80,10,2.490548e-03
81,10,3.514343e-03
82,10,2.144919e-03
83,10,9.435846e-04
84,10,1.720881e-03
85,10,1.264260e-03
86,10,1.773625e-03
87,10,2.501049e-03
88,10,1.829745e-03
89,10,2.009002e-03
90,10,1.017922e-03
91,10,9.855508e-04
92,10,4.782076e-05
93,10,2.465577e-05
94,10,2.667505e-05
95,10,1.133380e-04
96,10,1.541272e-03
97,10,1.338572e-03
98,10,1.882118e-04
99,10,2.456282e-03
100,10,1.544086e-03
101,10,1.721971e-03
102,10,8.706464e-04
103,10,1.075738e-03
104,10,1.372069e-03
105,10,1.534965e-03
106,10,2.416021e-03
107,10,1.747159e-03
108,10,3.263091e-03
109,10,2.193000e-03
110,10,2.886768e-03
111,10,5.445363e-04
112,10,2.689884e-03
113,10,1.605129e-03
114,10,1.318869e-03
115,10,6.521805e-04
116,10,1.002664e-03
117,10,1.136608e-03
118,10,1.562548e-03
119,10,8.002262e-04
120,10,1.172681e-03
121,10,2.733431e-04
122,10,2.825251e-05
123,10,1.224290e-05
64,11,3.676569e-04
65,11,1.318659e-04
66,11,6.847592e-04
67,11,1.156472e-03
68,11,1.217029e-03
69,11,1.330873e-04
70,11,1.405784e-03
71,11,1.716400e-03
72,11,1.202799e-03
73,11,1.115676e-03
74,11,1.140506e-03
75,11,1.754925e-03
76,11,2.227555e-03
77,11,1.828842e-03
78,11,1.663925e-03
79,11,2.164687e-03
80,11,3.266356e-03
81,11,2.538023e-03
82,11,1.721079e-03
83,11,2.899672e-03
84,11,4.119318e-03
85,11,1.358144e-03
86,11,2.254332e-03
87,11,1.589511e-03
88,11,1.263180e-03
89,11,1.580235e-03
90,11,2.647844e-03
91,11,1.012064e-03
92,11,6.554691e-05
93,11,7.286990e-05
94,11,7.192010e-04
95,11,9.858349e-04
96,11,8.085435e-04
97,11,1.690808e-03
98,11,9.739415e-04
99,11,1.054681e-03
100,11,2.749288e-03
101,11,2.568620e-03
102,11,1.116067e-03
103,11,8.774815e-04
104,11,2.537736e-03
105,11,1.196552e-03
106,11,2.442594e-03
107,11,4.916452e-03
108,11,1.025948e-03
109,11,1.358010e-03
110,11,2.119044e-03
111,11,1.221313e-03
112,11,2.740247e-03
113,11,3.494025e-03
114,11,3.150737e-03
115,11,1.496847e-03
116,11,9.748871e-04
117,11,1.214709e-03
118,11,1.456342e-03
119,11,9.859118e-04
120,11,4.333798e-04
121,11,1.181825e-03
122,11,1.346600e-04
123,11,4.359627e-06
64,12,4.179702e-05
65,12,5.422809e-04
66,12,6.880528e-04
67,12,1.004033e-03
68,12,2.589876e-04
69,12,8.575572e-04
70,12,5.512633e-04
71,12,1.480913e-03
72,12,2.504361e-03
73,12,2.304205e-03
74,12,1.509520e-03
75,12,1.194010e-03
76,12,3.193724e-03
77,12,2.547019e-03
78,12,8.975045e-04
79,12,3.362152e-03
80,12,3.594314e-03
81,12,2.621518e-03
82,12,3.936722e-03
83,12,2.801184e-03
84,12,2.314025e-03
85,12,9.001832e-04
86,12,1.428311e-03
87,12,2.162232e-03
88,12,1.808678e-03
89,12,2.978206e-03
90,12,1.993084e-03
91,12,1.759032e-03
92,12,1.761389e-04
93,12,6.572498e-04
94,12,7.120334e-04
95,12,2.326120e-03
96,12,8.865558e-04
97,12,6.426739e-04
98,12,1.345506e-03
99,12,2.951164e-03
100,12,3.277274e-03
101,12,1.183457e-03
102,12,1.913403e-03
103,12,3.291722e-03
104,12,1.927479e-03
105,12,3.453406e-03
106,12,1.994730e-03
107,12,3.027350e-03
108,12,1.296195e-03
109,12,3.420669e-03
110,12,3.122070e-03
111,12,4.478039e-03
112,12,1.927385e-03
113,12,1.489291e-03
114,12,1.802479e-03
115,12,2.438162e-03
116,12,1.921619e-03
117,12,1.574970e-03
118,12,1.220371e-03
119,12,2.700139e-04
120,12,5.964557e-04
121,12,5.993090e-04
122,12,1.131269e-03
123,12,4.931388e-06
64,13,7.602010e-05
65,13,4.404255e-05
66,13,6.417283e-04
67,13,9.338715e-05
68,13,4.956127e-04
69,13,4.097244e-04
70,13,1.135196e-04
71,13,6.233320e-04
72,13,2.169670e-03
73,13,3.622512e-04
74,13,2.723587e-03
75,13,1.166922e-03
76,13,2.835442e-03
77,13,2.436116e-03
78,13,3.218157e-03
79,13,1.448514e-03
80,13,3.127697e-03
81,13,1.939088e-03
82,13,2.205698e-03
83,13,3.534338e-03
84,13,2.258042e-03
85,13,1.819241e-03
86,13,2.264221e-03
87,13,9.170263e-04
88,13,2.532307e-03
89,13,1.663642e-03
90,13,1.138307e-03
91,13,2.094208e-03
92,13,1.266173e-03
93,13,4.509238e-05
94,13,1.228713e-04
95,13,1.481960e-03
96,13,9.039272e-04
97,13,2.439983e-03
98,13,2.777935e-03
99,13,1.758266e-03
100,13,3.225959e-03
101,13,7.323668e-04
102,13,4.533382e-03
103,13,1.518256e-03
104,13,2.446016e-03
105,13,3.488829e-03
106,13,3.314205e-03
107,13,1.124179e-03
108,13,2.659759e-03
109,13,2.421396e-03
110,13,2.784306e-03
111,13,1.330717e-03
112,13,3.235939e-03
113,13,1.767139e-03
114,13,3.446557e-03
115,13,2.615279e-03
116,13,6.009397e-04
117,13,1.579064e-03
118,13,1.220641e-03
119,13,6.267643e-04
120,13,1.456778e-04
121,13,9.031789e-04
122,13,4.791628e-04
123,13,1.387011e-05
64,14,4.712376e-04
65,14,3.097460e-05
66,14,6.262451e-04
67,14,7.709719e-04
68,14,3.107012e-04
69,14,1.537269e-03
70,14,5.194202e-04
71,14,2.885181e-03
72,14,1.396411e-03
73,14,2.779792e-03
74,14,2.551224e-03
75,14,2.659392e-03
76,14,6.485031e-03
77,14,3.706860e-03
78,14,2.739599e-03
79,14,2.186283e-03
80,14,3.016762e-03
81,14,1.811428e-03
82,14,3.087774e-03
83,14,2.190047e-03
84,14,5.676008e-03
85,14,3.496051e-03
86,14,3.037732e-03
87,14,3.265571e-03
88,14,3.500918e-03
89,14,1.855737e-03
90,14,1.044966e-03
91,14,1.829687e-03
92,14,2.687238e-03
93,14,4.018265e-05
94,14,3.345178e-04
95,14,1.271955e-03
96,14,2.262351e-04
97,14,1.042046e-03
98,14,3.655171e-03
99,14,2.368166e-03
100,14,2.725455e-03
101,14,2.615704e-03
102,14,2.992997e-03
103,14,3.759663e-03
104,14,2.418298e-03
105,14,4.053459e-03
106,14,2.637096e-03
107,14,3.628886e-04
108,14,4.052656e-03
109,14,2.758995e-03
110,14,2.861339e-03
111,14,1.118718e-03
112,14,1.907426e-03
113,14,2.892956e-03
114,14,1.803552e-03
115,14,1.954237e-03
116,14,3.264135e-03
117,14,3.287596e-04
118,14,1.682968e-03
119,14,1.341976e-03
120,14,7.275611e-04
121,14,6.846208e-04
122,14,6.288007e-05
123,14,9.901769e-04
64,15,3.632538e-05
65,15,8.741951e-05
66,15,4.506020e-04
67,15,1.349783e-03
68,15,4.975968e-04
69,15,1.492053e-03
70,15,1.219417e-03
71,15,1.457064e-03
72,15,3.159124e-03
73,15,3.253916e-03
74,15,1.815571e-03
75,15,1.743380e-03
76,15,3.682465e-03
77,15,4.009152e-03
78,15,2.951510e-03
79,15,2.463222e-03
80,15,3.519316e-03
81,15,1.182560e-03
82,15,3.331527e-03
83,15,4.216965e-03
84,15,2.987326e-03
85,15,3.198212e-03
86,15,4.900104e-03
87,15,3.282171e-03
88,15,2.504424e-03
89,15,3.014323e-03
90,15,2.663388e-03
91,15,1.410234e-03
92,15,1.212406e-03
93,15,7.281524e-05
94,15,1.205668e-03
95,15,8.038975e-04
96,15,2.521016e-03
97,15,2.078686e-03
98,15,3.885870e-03
99,15,2.501791e-03
100,15,5.826491e-03
101,15,6.606506e-03
102,15,2.810217e-03
103,15,3.120462e-03
104,15,5.206429e-03
105,15,5.951799e-03
106,15,5.682370e-03
107,15,3.171320e-03
108,15,2.685808e-03
109,15,5.866218e-03
110,15,4.128486e-03
111,15,2.949360e-03
112,15,1.510513e-03
113,15,2.278794e-03
114,15,3.440998e-03
115,15,1.934101e-03
116,15,2.368376e-03
117,15,2.066420e-03
118,15,1.490517e-03
119,15,4.826677e-04
120,15,1.230949e-04
121,15,1.524897e-03
122,15,4.811681e-04
123,15,2.025926e-05
64,16,6.611358e-04
65,16,9.182891e-04
66,16,6.565777e-04
67,16,7.288655e-04
68,16,4.586100e-04
69,16,9.170564e-04
70,16,6.974117e-04
71,16,2.034529e-03
72,16,1.220167e-03
73,16,3.672870e-03
74,16,1.681541e-03
75,16,2.111515e-03
76,16,3.406159e-03
77,16,2.427661e-03
78,16,3.362037e-03
79,16,3.220022e-03
80,16,4.318551e-03
81,16,2.548710e-03
82,16,3.994715e-03
83,16,2.804165e-03
84,16,2.299519e-03
85,16,5.400828e-03
86,16,4.389486e-03
87,16,3.217292e-03
88,16,4.179439e-03
89,16,4.305963e-03
90,16,2.182591e-03
91,16,6.161485e-04
92,16,1.006085e-03
93,16,7.880599e-04
94,16,7.678402e-04
95,16,2.018233e-03
96,16,3.177549e-03
97,16,3.268851e-03
98,16,3.764288e-03
99,16,4.231901e-03
100,16,2.860416e-03
101,16,5.782756e-03
102,16,4.570519e-03
103,16,5.118862e-03
104,16,7.514825e-03
105,16,4.664932e-03
106,16,4.120516e-03
107,16,6.077700e-03
108,16,4.948680e-03
109,16,3.457071e-03
110,16,2.556311e-03
111,16,2.833983e-03
112,16,1.413538e-03
113,16,4.690206e-03
114,16,2.322459e-03
115,16,3.481111e-03
116,16,1.235525e-03
117,16,3.428678e-04
118,16,4.223528e-04
119,16,1.341241e-03
120,16,9.150667e-04
121,16,2.051216e-03
122,16,7.800535e-04
123,16,5.762728e-04
64,17,8.348920e-04
65,17,7.368936e-04
66,17,2.569328e-04
67,17,1.102072e-03
68,17,1.928732e-03
69,17,2.448448e-03
70,17,2.355520e-03
71,17,3.386274e-03
72,17,3.664124e-03
73,17,5.081889e-03
74,17,1.002154e-03
75,17,1.860510e-03
76,17,5.025593e-03
77,17,4.412643e-03
78,17,3.578857e-03
79,17,4.201936e-03
80,17,3.294831e-03
81,17,4.171877e-03
82,17,3.774862e-03
83,17,2.664422e-03
84,17,3.015187e-03
85,17,6.445608e-03
86,17,3.646562e-03
87,17,5.575059e-03
88,17,8.747944e-03
89,17,1.798124e-03
90,17,1.991972e-03
91,17,2.415440e-03
92,17,1.055112e-03
93,17,6.583578e-04
94,17,3.853107e-04
95,17,3.126732e-03
96,17,2.136816e-03
97,17,1.527366e-03
98,17,2.224806e-03
99,17,5.204568e-03
100,17,7.519523e-03
101,17,4.082081e-03
102,17,4.886287e-03
103,17,5.231463e-03
104,17,5.603594e-03
105,17,4.332812e-03
106,17,6.756072e-03
107,17,5.945458e-03
108,17,3.447007e-03
109,17,7.458534e-03
110,17,3.529784e-03
111,17,3.896086e-03
112,17,3.016623e-03
113,17,1.740131e-03
114,17,3.364165e-03
115,17,2.784592e-03
116,17,3.223173e-03
117,17,1.975924e-03
118,17,1.090022e-03
119,17,1.013780e-03
120,17,1.564886e-03
121,17,8.143894e-04
122,17,6.075107e-05
123,17,2.474594e-04
64,18,2.587323e-04
65,18,1.328060e-03
66,18,3.800959e-04
67,18,1.410846e-03
68,18,1.554126e-03
69,18,1.887360e-03
70,18,1.966687e-03
71,18,3.100340e-03
72,18,4.545785e-03
73,18,4.662938e-03
74,18,2.582511e-03
75,18,6.099379e-03
76,18,6.732971e-03
77,18,5.044481e-03
78,18,6.700150e-03
79,18,6.849554e-03
80,18,3.883544e-03
81,18,7.337865e-03
82,18,7.549558e-03
83,18,4.829157e-03
84,18,3.107348e-03
85,18,6.823185e-03
86,18,3.698981e-03
87,18,4.817286e-03
88,18,6.431931e-03
89,18,5.755593e-03
90,18,3.531079e-03
91,18,3.544476e-03
92,18,1.849785e-03
93,18,1.120691e-03
94,18,1.609864e-03
95,18,2.333624e-03
96,18,5.225740e-03
