north,2,1726819375.701528,18
east,0,1351563446.800336,11
north,2,1726819375.701528,18
east,0,1351563446.800336,11
north,3,1190731317.618963,22
east,0,1351563446.800336,11
west,0,1351563446.800336,11
north,3,1190731317.618963,22
east,0,1351563446.800336,11
west,0,1351563446.800336,11
north,2,2717971350.706251,19
west,0,1351563446.800336,11
north,2,2717971350.706251,19
west,0,1351563446.800336,11
north,2,1726819375.701528,18
east,0,1351563446.800336,11
north,3,1190731317.618963,22
east,0,1351563446.800336,11
west,0,1351563446.800336,11
north,2,2717971350.706251,19
west,0,1351563446.800336,11
north,2,1726819375.701528,18
east,0,1351563446.800336,11
north,3,1190731317.618963,22
east,0,1351563446.800336,11
west,0,1351563446.800336,11
north,2,2717971350.706251,19
west,0,1351563446.800336,11
north,2,1726819375.701528,18
east,0,1351563446.800336,11
north,3,1190731317.618963,22
east,0,1351563446.800336,11
west,0,1351563446.800336,11
north,2,2717971350.706251,19
west,0,1351563446.800336,11
north,2,1726819375.701528,18
east,0,1351563446.800336,11
north,3,1190731317.618963,22
east,0,1351563446.800336,11
west,0,1351563446.800336,11
north,2,2717971350.706251,19
west,0,1351563446.800336,11
north,2,1726819375.701528,18
east,0,1351563446.800336,11
north,2,2717971350.706251,19
west,0,1351563446.800336,11
north,2,1726819375.701528,18
east,2,1726819375.701528,18
north,3,1190731317.618963,22
east,0,1351563446.800336,11
west,0,1351563446.800336,11
north,2,2717971350.706251,19
west,2,1726819375.701528,18
north,3,1190731317.618963,22
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,0,1351563446.800336,11
east,2,1726819375.701528,18
north,0,1351563446.800336,11
east,2,1726819375.701528,18
north,1,1444351275.735981,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,0,1351563446.800336,11
east,2,1726819375.701528,18
north,1,1444351281.364673,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,1,1444351275.735981,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,0,1351563446.800336,11
east,2,1726819375.701528,18
north,1,1444351281.364673,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,1,1444351275.735981,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,0,1351563446.800336,11
east,2,1726819375.701528,18
north,1,1444351281.364673,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,1,1444351275.735981,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,0,1351563446.800336,11
east,2,1726819375.701528,18
north,1,1444351281.364673,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,1,1444351275.735981,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,0,1351563446.800336,11
east,2,1726819375.701528,18
north,0,4586811891.070662,12
west,2,1726819375.701528,18
north,1,1444351275.735981,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,1,1444351281.364673,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,0,4586811891.070662,12
west,2,1726819375.701528,18
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351275.735981,15
north,1,1444351281.364673,15
east,2,1726819375.701528,18
west,2,1726819375.701528,18
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351275.735981,15
north,0,4586811891.070662,12
west,2,1726819375.701528,18
north,3,1190731317.618963,22
south,3,1190731317.618963,22
east,1,1444351275.735981,15
west,1,1444351275.735981,15
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351275.735981,15
north,0,4586811891.070662,12
west,2,1726819375.701528,18
north,3,1190731317.618963,22
south,3,1190731317.618963,22
east,1,1444351275.735981,15
west,1,1444351275.735981,15
north,0,4586811891.070662,12
west,2,1726819375.701528,18
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351275.735981,15
north,3,1190731317.618963,22
south,3,1190731317.618963,22
east,1,1444351275.735981,15
west,1,1444351275.735981,15
north,0,4586811891.070662,12
west,2,1726819375.701528,18
north,3,north,0,4586811891.070662,12
west,2,1726819375.701528,18
north,2,2717971350.706251,19
south,2,1190731317.618963,22
2717971350.706251,19
west,1,1444351275.735981,15
south,3,1190731317.618963,22
east,1,1444351275.735981,15
west,1,1444351275.735981,15
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351275.735981,15
north,2,2717971350.706251,19
south,2,2717971350.706251,19
west,1,1444351275.735981,15
north,3,1190731317.618963,22
south,3,1190731317.618963,22
east,1,1444351275.735981,15
west,1,1444351275.735981,15
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351275.735981,15
north,2,2717971350.706251,19
south,2,2717971350.706251,19
west,1,1444351275.735981,15
north,3,1190731317.618963,22
south,3,1190731317.618963,22
east,1,1444351275.735981,15
west,1,1444351275.735981,15
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,3,1190731317.618963,22
north,2,2717971350.706251,19
south,2,2717971350.706251,19
west,1,1444351275.735981,15
north,3,1190731317.618963,22
south,3,1190731317.618963,22
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,2,2717971350.706251,19
south,2,2717971350.706251,19
west,1,1444351275.735981,15
north,0,1351563446.800336,11
south,0,1351563446.800336,11
east,3,1190731317.618963,22
north,0,1351563446.800336,11
south,0,1351563446.800336,11
east,3,1190731317.618963,22
north,2,2717971350.706251,19
south,2,2717971350.706251,19
west,1,1444351275.735981,15
north,0,1351563446.800336,11
south,0,1351563446.800336,11
east,3,1190731317.618963,22
north,1,1444351275.735981,15
south,1,1444351275.735981,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,2,2717971350.706251,19
south,2,2717971350.706251,19
west,3,1190731317.618963,22
north,0,1351563446.800336,11
south,0,1351563446.800336,11
east,3,1190731317.618963,22
north,1,1444351275.735981,15
south,1,1444351275.735981,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,1351563446.800336,11
south,0,1351563446.800336,11
east,3,1190731317.618963,22
north,1,1444351275.735981,15
south,1,1444351275.735981,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,1351563446.800336,11
south,0,1351563446.800336,11
east,3,1190731317.618963,22
north,1,1444351281.364673,15
south,1,1444351281.364673,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,1,1444351275.735981,15
south,1,1444351275.735981,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,1351563446.800336,11
south,0,1351563446.800336,11
east,3,1190731317.618963,22
north,1,1444351281.364673,15
south,1,1444351281.364673,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,4586811891.070662,12
south,0,4586811891.070662,12
north,1,west,3,1444351275.735981,15
south,1,1190731317.618963,22
1444351275.735981,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,4586811891.070662,12
south,0,4586811891.070662,12
west,3,1190731317.618963,22
north,1,1444351281.364673,15
south,1,1444351281.364673,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,1,1444351275.735981,15
south,1,1444351275.735981,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,4586811891.070662,12
south,0,4586811891.070662,12
west,3,1190731317.618963,22
north,1,1444351281.364673,15
south,1,1444351281.364673,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351281.364673,15
north,0,4586811891.070662,12
south,0,4586811891.070662,12
west,3,1190731317.618963,22
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351281.364673,15
north,1,1444351281.364673,15
south,1,1444351281.364673,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,4586811891.070662,12
south,0,4586811891.070662,12
west,3,1190731317.618963,22
north,2,1726819375.701528,18
south,2,1726819375.701528,18
east,1,1444351281.364673,15
north,1,1444351281.364673,15
south,1,1444351281.364673,15
east,3,1190731317.618963,22
west,3,1190731317.618963,22
north,0,4586811891.070662,12
south,0,4586811891.070662,12
west,3,1190731317.618963,22
north,3,1190731317.618963,22
south,3,1190731317.618963,22
east,1,1444351281.364673,15
west,1,1444351281.364673,15
north,2,1726819375.701528,18
south,2,1726819375.701528,18
