Gvar_i,Gvar_j,Gvar_ij
115,3,1.378083e-04
116,3,3.920330e-04
117,3,4.608113e-04
118,3,2.144815e-04
119,3,2.391819e-04
120,3,1.729728e-04
121,3,2.009667e-04
122,3,8.079682e-05
123,3,1.562404e-05
64,4,1.138739e-04
65,4,5.518930e-05
66,4,2.319329e-04
67,4,2.887022e-04
68,4,3.965675e-04
69,4,3.690020e-04
70,4,4.885267e-04
71,4,6.452367e-04
72,4,6.435618e-04
73,4,6.024216e-04
74,4,1.045510e-03
75,4,7.880847e-04
76,4,6.927507e-04
77,4,9.961589e-04
78,4,7.515810e-04
79,4,9.093731e-04
80,4,7.200660e-04
81,4,9.492631e-04
82,4,7.729346e-04
83,4,9.607050e-04
84,4,9.562628e-04
85,4,9.154310e-04
86,4,5.327275e-04
87,4,5.034793e-04
88,4,4.254430e-04
89,4,8.135249e-04
90,4,4.056808e-04
91,4,2.289699e-04
92,4,2.818262e-04
93,4,9.170550e-05
94,4,1.268663e-04
95,4,1.017316e-04
96,4,3.063190e-04
97,4,4.572513e-04
98,4,4.684035e-04
99,4,4.620905e-04
100,4,7.272125e-04
101,4,8.960577e-04
102,4,7.311374e-04
103,4,7.593833e-04
104,4,7.290663e-04
105,4,8.744924e-04
106,4,9.728127e-04
107,4,9.342443e-04
108,4,8.090487e-04
109,4,9.263685e-04
110,4,1.008713e-03
111,4,5.984929e-04
112,4,6.936204e-04
113,4,9.353837e-04
114,4,7.653539e-04
115,4,5.089725e-04
116,4,7.166337e-04
117,4,4.420834e-04
118,4,4.768485e-04
119,4,3.737669e-04
120,4,2.775490e-04
121,4,1.873609e-04
122,4,1.005162e-04
123,4,1.976061e-04
64,5,1.145877e-04
65,5,2.975752e-04
66,5,2.884103e-04
67,5,3.341340e-04
68,5,4.647087e-04
69,5,5.759570e-04
70,5,7.902806e-04
71,5,7.156612e-04
72,5,1.155953e-03
73,5,6.791834e-04
74,5,1.164576e-03
75,5,6.664218e-04
76,5,1.102120e-03
77,5,9.950294e-04
78,5,1.325881e-03
79,5,1.320034e-03
80,5,1.111406e-03
81,5,1.173748e-03
82,5,8.035807e-04
83,5,1.564479e-03
84,5,1.252929e-03
85,5,8.896660e-04
86,5,1.418106e-03
87,5,8.806343e-04
88,5,8.174650e-04
89,5,6.290504e-04
90,5,6.534999e-04
91,5,2.959487e-04
92,5,1.948967e-04
93,5,1.135458e-04
94,5,1.346716e-04
95,5,1.718579e-04
96,5,3.535241e-04
97,5,4.733184e-04
98,5,6.149498e-04
99,5,7.813988e-04
100,5,7.213815e-04
101,5,1.105508e-03
102,5,7.429864e-04
103,5,8.638150e-04
104,5,1.028566e-03
105,5,1.377007e-03
106,5,1.290583e-03
107,5,1.299429e-03
108,5,1.156740e-03
109,5,1.112409e-03
110,5,1.362063e-03
111,5,9.281494e-04
112,5,9.072082e-04
113,5,1.002630e-03
114,5,7.203668e-04
115,5,7.854961e-04
116,5,9.008108e-04
117,5,9.080458e-04
118,5,6.062872e-04
119,5,5.875603e-04
120,5,2.367904e-04
121,5,1.476833e-04
122,5,1.386841e-04
123,5,7.722440e-06
64,6,1.288211e-04
65,6,2.354367e-04
66,6,2.958440e-04
67,6,2.800191e-04
68,6,5.927377e-04
69,6,9.968805e-04
70,6,6.469957e-04
71,6,6.862633e-04
72,6,9.766975e-04
73,6,1.244039e-03
74,6,1.243294e-03
75,6,1.331182e-03
76,6,1.799238e-03
77,6,1.386079e-03
78,6,1.202766e-03
79,6,1.371406e-03
80,6,1.683141e-03
81,6,1.465660e-03
82,6,1.383680e-03
83,6,1.388002e-03
84,6,1.106921e-03
85,6,1.330159e-03
86,6,9.593692e-04
87,6,8.915539e-04
88,6,8.029238e-04
89,6,6.348580e-04
90,6,9.225666e-04
91,6,3.157494e-04
92,6,2.272302e-04
93,6,5.695885e-05
94,6,1.223714e-04
95,6,3.585580e-04
96,6,5.008056e-04
97,6,5.613659e-04
98,6,6.089927e-04
99,6,1.182700e-03
100,6,9.353468e-04
101,6,1.256851e-03
102,6,1.464337e-03
103,6,1.265756e-03
104,6,1.636460e-03
105,6,1.437122e-03
106,6,1.468462e-03
107,6,1.053970e-03
108,6,1.370452e-03
109,6,9.836729e-04
110,6,1.274611e-03
111,6,1.361526e-03
112,6,1.120857e-03
113,6,1.158927e-03
114,6,9.883141e-04
115,6,8.365689e-04
116,6,8.433251e-04
117,6,7.626299e-04
118,6,3.747928e-04
119,6,7.264735e-04
120,6,6.310615e-04
121,6,2.449053e-04
122,6,3.617657e-04
123,6,8.345771e-05
64,7,2.416863e-04
65,7,3.156805e-04
66,7,4.430773e-04
67,7,3.041261e-04
68,7,8.588700e-04
69,7,8.938864e-04
70,7,1.050222e-03
71,7,1.334437e-03
72,7,1.228514e-03
73,7,1.339757e-03
74,7,1.955438e-03
75,7,1.601664e-03
76,7,1.649590e-03
77,7,1.947632e-03
78,7,1.103876e-03
79,7,1.596419e-03
80,7,1.952578e-03
81,7,1.701060e-03
82,7,1.754641e-03
83,7,1.306295e-03
84,7,1.557324e-03
85,7,1.465890e-03
86,7,1.043931e-03
87,7,1.393617e-03
88,7,9.587067e-04
89,7,9.342788e-04
90,7,5.224404e-04
91,7,5.091557e-04
92,7,4.888474e-04
93,7,1.745673e-04
94,7,2.309802e-04
95,7,4.203311e-04
96,7,7.270225e-04
97,7,6.806578e-04
98,7,9.393409e-04
99,7,9.832614e-04
100,7,1.493689e-03
101,7,1.597536e-03
102,7,1.104796e-03
103,7,1.258347e-03
104,7,1.839779e-03
105,7,1.804323e-03
106,7,1.620927e-03
107,7,1.247802e-03
108,7,1.580515e-03
109,7,1.873628e-03
110,7,1.951978e-03
111,7,1.556680e-03
112,7,1.361384e-03
113,7,1.722029e-03
114,7,1.545250e-03
115,7,1.462633e-03
116,7,1.050661e-03
117,7,6.988517e-04
118,7,1.024471e-03
119,7,6.835997e-04
120,7,5.147588e-04
121,7,3.199381e-04
122,7,4.012216e-04
123,7,1.296356e-04
64,8,9.541295e-05
65,8,2.837663e-04
66,8,3.906480e-04
67,8,5.024139e-04
68,8,6.291028e-04
69,8,7.196573e-04
70,8,1.258203e-03
71,8,1.164430e-03
72,8,1.198438e-03
73,8,1.756658e-03
74,8,1.894103e-03
75,8,1.859090e-03
76,8,1.362557e-03
77,8,2.197298e-03
78,8,1.730893e-03
79,8,2.330528e-03
80,8,2.302330e-03
81,8,1.929957e-03
82,8,1.814662e-03
83,8,2.029232e-03
84,8,1.905623e-03
85,8,1.578380e-03
86,8,1.492588e-03
87,8,1.710058e-03
88,8,1.063645e-03
89,8,1.238323e-03
90,8,9.629331e-04
91,8,6.015476e-04
92,8,4.348271e-04
93,8,1.394399e-04
94,8,2.638328e-04
95,8,6.062370e-04
96,8,7.019098e-04
97,8,6.775870e-04
98,8,1.276502e-03
99,8,1.265327e-03
100,8,1.263635e-03
101,8,1.696304e-03
102,8,1.418508e-03
103,8,1.910640e-03
104,8,1.605237e-03
105,8,1.937679e-03
106,8,2.279471e-03
107,8,1.733000e-03
108,8,2.432342e-03
109,8,2.115524e-03
110,8,1.558167e-03
111,8,1.699309e-03
112,8,1.747718e-03
113,8,1.367209e-03
114,8,1.532156e-03
115,8,1.271181e-03
116,8,1.108166e-03
117,8,1.289185e-03
118,8,6.868215e-04
119,8,7.637505e-04
120,8,6.587654e-04
121,8,3.969774e-04
122,8,2.597245e-04
123,8,1.524075e-04
64,9,1.498171e-04
65,9,3.792785e-04
66,9,4.835366e-04
67,9,9.219068e-04
68,9,8.768835e-04
69,9,1.026054e-03
70,9,1.612445e-03
71,9,1.213294e-03
72,9,1.531326e-03
73,9,1.317282e-03
74,9,2.161831e-03
75,9,1.757485e-03
76,9,2.081887e-03
77,9,2.085762e-03
78,9,2.269353e-03
79,9,2.171441e-03
80,9,2.517286e-03
81,9,2.185631e-03
82,9,2.050299e-03
83,9,2.516654e-03
84,9,2.173627e-03
85,9,2.519342e-03
86,9,2.185781e-03
87,9,2.090570e-03
88,9,1.400478e-03
89,9,1.287986e-03
90,9,1.331706e-03
91,9,8.914661e-04
92,9,4.147861e-04
93,9,3.320566e-04
94,9,2.866780e-04
95,9,3.929331e-04
96,9,7.016907e-04
97,9,9.632258e-04
98,9,1.755355e-03
99,9,1.306107e-03
100,9,2.033523e-03
101,9,1.533991e-03
102,9,2.166084e-03
103,9,2.222704e-03
104,9,2.369355e-03
105,9,2.419043e-03
106,9,2.595380e-03
107,9,2.484634e-03
108,9,2.444590e-03
109,9,2.271064e-03
110,9,1.692405e-03
111,9,2.251274e-03
112,9,1.663687e-03
113,9,2.343816e-03
114,9,1.952317e-03
115,9,1.685593e-03
116,9,1.448475e-03
117,9,1.553194e-03
118,9,1.094884e-03
119,9,1.042494e-03
120,9,6.267263e-04
121,9,4.724681e-04
122,9,3.663290e-04
123,9,3.337247e-04
64,10,1.361128e-04
65,10,2.333726e-04
66,10,4.313229e-04
67,10,8.897407e-04
68,10,1.081991e-03
69,10,1.350787e-03
70,10,1.401379e-03
71,10,1.370985e-03
72,10,1.487937e-03
73,10,1.819302e-03
74,10,2.389172e-03
75,10,1.984566e-03
76,10,2.607923e-03
77,10,2.463702e-03
78,10,2.561808e-03
79,10,2.423888e-03
80,10,2.906276e-03
81,10,2.583638e-03
82,10,2.961309e-03
83,10,2.723663e-03
84,10,1.983512e-03
85,10,2.734694e-03
86,10,2.287355e-03
87,10,2.040491e-03
88,10,1.813800e-03
89,10,1.377215e-03
90,10,1.752194e-03
